_date,_subject,implementation,implementationName,timestamp
2025-12-09T20:49:35.469334+00:00,Vote: Kimi K2 Implementation,kimi,Kimi K2 Implementation,2025-12-09T20:49:35.233Z
2025-12-09T20:39:37.501884+00:00,Vote: Kimi K2 Implementation,kimi,Kimi K2 Implementation,2025-12-09T20:39:37.670Z
2025-12-09T20:39:34.039688+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-09T20:39:34.194Z
2025-12-09T20:39:29.159909+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T20:39:28.970Z
2025-12-09T20:25:59.257213+00:00,Vote: MiniMax Implementation,minimax,MiniMax Implementation,2025-12-09T20:25:58.701Z
2025-12-09T20:22:49.905860+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T20:23:29.267Z
2025-12-09T20:00:32.810445+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T20:00:29.763Z
2025-12-09T19:46:02.697718+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T19:46:02.503Z
2025-12-09T17:46:50.609532+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T17:46:49.643Z
2025-12-09T17:25:13.964725+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-09T17:25:13.606Z
2025-12-09T17:17:58.073515+00:00,Vote: Kimi K2 Implementation,kimi,Kimi K2 Implementation,2025-12-09T17:17:57.938Z
2025-12-09T17:17:29.638934+00:00,Vote: MiniMax Implementation,minimax,MiniMax Implementation,2025-12-09T17:17:29.474Z
2025-12-09T17:17:13.852681+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T17:17:13.716Z
2025-12-09T17:16:51.914343+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-09T17:16:51.668Z
2025-12-09T17:08:57.219309+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-09T17:08:56.100Z
2025-12-09T17:08:26.034890+00:00,Vote: MiniMax Implementation,minimax,MiniMax Implementation,2025-12-09T17:08:24.802Z
2025-12-09T16:02:10.066246+00:00,Vote: ChatGPT Implementation,chatgpt,ChatGPT Implementation,2025-12-09T16:02:10.125Z
2025-12-09T15:57:55.421200+00:00,Vote: MiniMax Implementation,minimax,MiniMax Implementation,2025-12-09T15:57:55.414Z
2025-12-09T15:42:56.166188+00:00,Vote: Kimi K2 Implementation,kimi,Kimi K2 Implementation,2025-12-09T15:42:56.221Z
2025-12-09T15:39:35.923032+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T15:39:35.461Z
2025-12-09T15:34:08.760570+00:00,Vote: MiniMax Implementation,minimax,MiniMax Implementation,2025-12-09T15:34:07.797Z
2025-12-09T15:18:24.990037+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T15:18:24.550Z
2025-12-09T15:09:27.230161+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-09T15:09:26.944Z
2025-12-09T15:08:40.174546+00:00,Vote: MiniMax Implementation,minimax,MiniMax Implementation,2025-12-09T15:08:45.906Z
2025-12-09T15:08:32.976086+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T15:08:37.914Z
2025-12-09T14:35:38.607170+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T14:35:38.141Z
2025-12-09T14:27:41.729110+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T14:27:40.818Z
2025-12-09T13:31:41.871796+00:00,Vote: Kimi K2 Implementation,kimi,Kimi K2 Implementation,2025-12-09T13:31:40.929Z
2025-12-09T13:23:23.989266+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T13:23:23.425Z
2025-12-09T13:14:34.249867+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-09T13:14:34.807Z
2025-12-09T13:11:12.233487+00:00,Vote: MiniMax Implementation,minimax,MiniMax Implementation,2025-12-09T13:11:11.635Z
2025-12-09T13:04:55.070213+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T13:04:55.366Z
2025-12-09T12:52:19.807135+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T12:52:19.537Z
2025-12-09T12:51:29.180190+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-09T12:51:31.279Z
2025-12-09T12:49:51.552772+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T12:49:51.280Z
2025-12-09T12:23:47.315652+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-09T12:23:46.704Z
2025-12-09T12:10:10.625238+00:00,Vote: Kimi K2 Implementation,kimi,Kimi K2 Implementation,2025-12-09T12:10:02.986Z
2025-12-09T12:08:02.641946+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T12:08:02.446Z
2025-12-09T11:56:27.638492+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-09T11:56:29.181Z
2025-12-09T11:37:51.557226+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T11:37:51.784Z
2025-12-09T11:35:47.191694+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T11:35:47.704Z
2025-12-09T11:32:20.404745+00:00,Vote: MiniMax Implementation,minimax,MiniMax Implementation,2025-12-09T11:32:20.116Z
2025-12-09T11:21:48.256354+00:00,Vote: Kimi K2 Implementation,kimi,Kimi K2 Implementation,2025-12-09T11:21:47.908Z
2025-12-09T11:10:34.009285+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T11:10:33.620Z
2025-12-09T11:05:08.807007+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T11:05:06.688Z
2025-12-09T10:59:43.908301+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T10:59:43.723Z
2025-12-09T10:59:39.503299+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-09T10:59:39.169Z
2025-12-09T10:45:55.875904+00:00,Vote: Kimi K2 Implementation,kimi,Kimi K2 Implementation,2025-12-09T10:45:55.664Z
2025-12-09T10:21:13.719640+00:00,Vote: Kimi K2 Implementation,kimi,Kimi K2 Implementation,2025-12-09T10:21:13.407Z
2025-12-09T09:55:11.393707+00:00,Vote: MiniMax Implementation,minimax,MiniMax Implementation,2025-12-09T09:55:11.273Z
2025-12-09T09:54:59.716614+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T09:54:59.420Z
2025-12-09T09:28:11.649362+00:00,Vote: Kimi K2 Implementation,kimi,Kimi K2 Implementation,2025-12-09T09:28:11.432Z
2025-12-09T08:48:40.077524+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-09T08:48:37.905Z
2025-12-09T08:47:29.640745+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T08:47:29.378Z
2025-12-09T08:33:00.314112+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T08:32:59.178Z
2025-12-09T08:29:25.141653+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-09T08:29:25.052Z
2025-12-09T08:29:03.271365+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T08:29:02.852Z
2025-12-09T08:21:48.685954+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T08:21:45.874Z
2025-12-09T08:21:42.878794+00:00,Vote: MiniMax Implementation,minimax,MiniMax Implementation,2025-12-09T08:21:39.889Z
2025-12-09T08:03:14.821739+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-09T08:03:14.050Z
2025-12-09T08:02:53.786799+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T08:02:55.935Z
2025-12-09T07:58:14.802232+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-09T07:58:14.555Z
2025-12-09T07:57:11.719750+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T07:57:11.364Z
2025-12-09T07:57:07.210233+00:00,Vote: MiniMax Implementation,minimax,MiniMax Implementation,2025-12-09T07:57:06.701Z
2025-12-09T07:54:11.073498+00:00,Vote: MiniMax Implementation,minimax,MiniMax Implementation,2025-12-09T07:54:08.751Z
2025-12-09T07:53:00.841249+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T07:52:57.599Z
2025-12-09T07:52:56.315654+00:00,Vote: MiniMax Implementation,minimax,MiniMax Implementation,2025-12-09T07:52:55.981Z
2025-12-09T07:45:03.624439+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T07:45:03.350Z
2025-12-09T07:27:19.623513+00:00,Vote: Claude Implementation,claude,Claude Implementation,2025-12-09T07:27:20.079Z
2025-12-09T07:19:49.326334+00:00,Vote: ChatGPT Implementation,chatgpt,ChatGPT Implementation,2025-12-09T07:19:49.255Z
2025-12-09T07:19:35.488762+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-09T07:19:35.309Z
2025-12-09T07:04:03.938988+00:00,Vote: MiniMax Implementation,minimax,MiniMax Implementation,2025-12-09T07:04:04.224Z
2025-12-09T07:03:42.926444+00:00,Vote: Kimi K2 Implementation,kimi,Kimi K2 Implementation,2025-12-09T07:03:42.998Z
2025-12-09T06:49:41.630793+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-09T06:49:41.862Z
2025-12-09T06:25:27.092722+00:00,Vote: MiniMax Implementation,minimax,MiniMax Implementation,2025-12-09T06:25:25.782Z
2025-12-08T20:37:11.288810+00:00,Vote: Gemini Implementation,gemini,Gemini Implementation,2025-12-08T20:37:11.063Z
